delbydelid;Antall husholdninger;Barn i husholdningen;År;Bydel;Delbydel;Husholdningstype
0301010101;14.0;3 barn i HH;2009;Gamle Oslo;Lodalen;Par med store barn
0301010101;5.0;4 barn eller mer;2009;Gamle Oslo;Lodalen;Par med store barn
0301010101;42.09200000000015;1 barn i HH;2010;Gamle Oslo;Lodalen;Par med store barn
0301010101;34.02670000000012;2 barn i HH;2010;Gamle Oslo;Lodalen;Par med store barn
0301010101;14.0;3 barn i HH;2010;Gamle Oslo;Lodalen;Par med store barn
0301010101;38.0;1 barn i HH;2011;Gamle Oslo;Lodalen;Par med store barn
0301010101;30.0;2 barn i HH;2011;Gamle Oslo;Lodalen;Par med store barn
0301010101;14.0;3 barn i HH;2011;Gamle Oslo;Lodalen;Par med store barn
0301010101;40.0;1 barn i HH;2012;Gamle Oslo;Lodalen;Par med store barn
0301010101;33.0;2 barn i HH;2012;Gamle Oslo;Lodalen;Par med store barn
0301010101;12.0;3 barn i HH;2012;Gamle Oslo;Lodalen;Par med store barn
0301010101;3.0;4 barn eller mer;2012;Gamle Oslo;Lodalen;Par med store barn
0301010101;52.0;1 barn i HH;2013;Gamle Oslo;Lodalen;Par med store barn
0301010101;39.0;2 barn i HH;2013;Gamle Oslo;Lodalen;Par med store barn
0301010101;8.0;3 barn i HH;2013;Gamle Oslo;Lodalen;Par med store barn
0301010101;3.0;4 barn eller mer;2013;Gamle Oslo;Lodalen;Par med store barn
0301010101;65.0;1 barn i HH;2014;Gamle Oslo;Lodalen;Par med store barn
0301010101;46.0;2 barn i HH;2014;Gamle Oslo;Lodalen;Par med store barn
0301010101;15.0;3 barn i HH;2014;Gamle Oslo;Lodalen;Par med store barn
0301010101;3.0;4 barn eller mer;2014;Gamle Oslo;Lodalen;Par med store barn
0301010101;68.0;1 barn i HH;2015;Gamle Oslo;Lodalen;Par med store barn
0301010101;65.0;2 barn i HH;2015;Gamle Oslo;Lodalen;Par med store barn
0301010101;8.0;3 barn i HH;2015;Gamle Oslo;Lodalen;Par med store barn
0301010101;3.0;4 barn eller mer;2015;Gamle Oslo;Lodalen;Par med store barn
0301010101;89.0;1 barn i HH;2016;Gamle Oslo;Lodalen;Par med store barn
0301010101;70.0;2 barn i HH;2016;Gamle Oslo;Lodalen;Par med store barn
0301010101;11.0;3 barn i HH;2016;Gamle Oslo;Lodalen;Par med store barn
0301010101;4.0;4 barn eller mer;2016;Gamle Oslo;Lodalen;Par med store barn
0301010101;47.39400000000017;1 barn i HH;2008;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;18.672300000000067;2 barn i HH;2008;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;3.866400000000014;3 barn i HH;2008;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;3.0;4 barn eller mer;2008;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;46.485500000000165;1 barn i HH;2009;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;21.071400000000075;2 barn i HH;2009;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;6.0693000000000215;3 barn i HH;2009;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;0.0;4 barn eller mer;2009;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;51.930700000000186;1 barn i HH;2010;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;18.210300000000064;2 barn i HH;2010;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;6.767200000000024;3 barn i HH;2010;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;50.97960000000018;1 barn i HH;2011;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;27.7831000000001;2 barn i HH;2011;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;3.0929000000000113;3 barn i HH;2011;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;3.0;4 barn eller mer;2011;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;61.0;1 barn i HH;2012;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;22.0;2 barn i HH;2012;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;4.0;3 barn i HH;2012;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;54.0;1 barn i HH;2013;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;25.0;2 barn i HH;2013;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;3.0;3 barn i HH;2013;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;3.0;4 barn eller mer;2013;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;48.0;1 barn i HH;2014;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;19.0;2 barn i HH;2014;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;7.0;4 barn eller mer;2014;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;46.0;1 barn i HH;2015;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;20.0;2 barn i HH;2015;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;8.0;4 barn eller mer;2015;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;51.0;1 barn i HH;2016;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;23.0;2 barn i HH;2016;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;8.0;4 barn eller mer;2016;Gamle Oslo;Lodalen;Mor/far med små barn
0301010101;54.09080000000019;1 barn i HH;2008;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;11.38810000000004;2 barn i HH;2008;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;12.188300000000043;3 barn i HH;2008;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;60.33300000000021;1 barn i HH;2009;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;15.743000000000055;2 barn i HH;2009;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;5.942500000000021;3 barn i HH;2009;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;55.502100000000205;1 barn i HH;2010;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;15.343100000000055;2 barn i HH;2010;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;6.467700000000023;3 barn i HH;2010;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;4.456600000000016;4 barn eller mer;2010;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;74.94340000000027;1 barn i HH;2011;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;24.762600000000088;2 barn i HH;2011;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;3.156500000000011;3 barn i HH;2011;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;3.1114000000000113;4 barn eller mer;2011;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;65.0;1 barn i HH;2012;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;21.0;2 barn i HH;2012;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;7.0;3 barn i HH;2012;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;3.0;4 barn eller mer;2012;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;76.0;1 barn i HH;2013;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;26.0;2 barn i HH;2013;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;3.0;3 barn i HH;2013;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;3.0;4 barn eller mer;2013;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;70.0;1 barn i HH;2014;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;27.0;2 barn i HH;2014;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;5.0;3 barn i HH;2014;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;74.0;1 barn i HH;2015;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;27.0;2 barn i HH;2015;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;4.0;3 barn i HH;2015;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;4.0;4 barn eller mer;2015;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;76.0;1 barn i HH;2016;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;23.0;2 barn i HH;2016;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;6.0;4 barn eller mer;2016;Gamle Oslo;Lodalen;Mor/far med store barn
0301010101;55.772600000000196;1 barn i HH;2008;Gamle Oslo;Lodalen;Enfamiliehusholdninger med voksne barn
0301010101;8.48260000000003;2 barn i HH;2008;Gamle Oslo;Lodalen;Enfamiliehusholdninger med voksne barn
0301010101;61.999300000000225;1 barn i HH;2009;Gamle Oslo;Lodalen;Enfamiliehusholdninger med voksne barn
0301010101;10.176700000000036;2 barn i HH;2009;Gamle Oslo;Lodalen;Enfamiliehusholdninger med voksne barn
0301010101;3.0;3 barn i HH;2009;Gamle Oslo;Lodalen;Enfamiliehusholdninger med voksne barn
0301010101;67.42030000000024;1 barn i HH;2010;Gamle Oslo;Lodalen;Enfamiliehusholdninger med voksne barn
0301010101;9.642600000000034;2 barn i HH;2010;Gamle Oslo;Lodalen;Enfamiliehusholdninger med voksne barn
0301010101;3.0;3 barn i HH;2010;Gamle Oslo;Lodalen;Enfamiliehusholdninger med voksne barn
0301010101;75.23430000000027;1 barn i HH;2011;Gamle Oslo;Lodalen;Enfamiliehusholdninger med voksne barn
0301010101;14.317500000000052;2 barn i HH;2011;Gamle Oslo;Lodalen;Enfamiliehusholdninger med voksne barn
0301010101;92.0;1 barn i HH;2012;Gamle Oslo;Lodalen;Enfamiliehusholdninger med voksne barn
0301010101;9.0;2 barn i HH;2012;Gamle Oslo;Lodalen;Enfamiliehusholdninger med voksne barn
0301010101;121.0;1 barn i HH;2013;Gamle Oslo;Lodalen;Enfamiliehusholdninger med voksne barn
0301010101;21.0;2 barn i HH;2013;Gamle Oslo;Lodalen;Enfamiliehusholdninger med voksne barn
0301010101;129.0;1 barn i HH;2014;Gamle Oslo;Lodalen;Enfamiliehusholdninger med voksne barn
0301010101;9.0;2 barn i HH;2014;Gamle Oslo;Lodalen;Enfamiliehusholdninger med voksne barn
0301010101;113.0;1 barn i HH;2015;Gamle Oslo;Lodalen;Enfamiliehusholdninger med voksne barn
0301010101;13.0;2 barn i HH;2015;Gamle Oslo;Lodalen;Enfamiliehusholdninger med voksne barn
0301010101;135.0;1 barn i HH;2016;Gamle Oslo;Lodalen;Enfamiliehusholdninger med voksne barn
0301010101;15.0;2 barn i HH;2016;Gamle Oslo;Lodalen;Enfamiliehusholdninger med voksne barn
0301010101;70.86460000000027;Ingen barn i HH;2008;Gamle Oslo;Lodalen;Flerfamiliehusholdninger uten barn 0-17 år
0301010101;15.694400000000055;1 barn i HH;2008;Gamle Oslo;Lodalen;Flerfamiliehusholdninger uten barn 0-17 år
0301010101;65.99880000000023;Ingen barn i HH;2009;Gamle Oslo;Lodalen;Flerfamiliehusholdninger uten barn 0-17 år
0301010101;20.722200000000075;1 barn i HH;2009;Gamle Oslo;Lodalen;Flerfamiliehusholdninger uten barn 0-17 år
0301010101;78.04470000000029;Ingen barn i HH;2010;Gamle Oslo;Lodalen;Flerfamiliehusholdninger uten barn 0-17 år
0301010101;18.529600000000066;1 barn i HH;2010;Gamle Oslo;Lodalen;Flerfamiliehusholdninger uten barn 0-17 år
0301010101;80.20780000000028;Ingen barn i HH;2011;Gamle Oslo;Lodalen;Flerfamiliehusholdninger uten barn 0-17 år
0301010101;15.019000000000053;1 barn i HH;2011;Gamle Oslo;Lodalen;Flerfamiliehusholdninger uten barn 0-17 år
0301010101;4.0;2 barn i HH;2011;Gamle Oslo;Lodalen;Flerfamiliehusholdninger uten barn 0-17 år
0301010101;93.0;Ingen barn i HH;2012;Gamle Oslo;Lodalen;Flerfamiliehusholdninger uten barn 0-17 år
0301010101;19.0;1 barn i HH;2012;Gamle Oslo;Lodalen;Flerfamiliehusholdninger uten barn 0-17 år
0301010101;5.0;2 barn i HH;2012;Gamle Oslo;Lodalen;Flerfamiliehusholdninger uten barn 0-17 år
0301010101;98.0;Ingen barn i HH;2013;Gamle Oslo;Lodalen;Flerfamiliehusholdninger uten barn 0-17 år
0301010101;16.0;1 barn i HH;2013;Gamle Oslo;Lodalen;Flerfamiliehusholdninger uten barn 0-17 år
0301010101;5.0;2 barn i HH;2013;Gamle Oslo;Lodalen;Flerfamiliehusholdninger uten barn 0-17 år
0301010101;329.0;Ingen barn i HH;2014;Gamle Oslo;Lodalen;Flerfamiliehusholdninger uten barn 0-17 år
0301010101;26.0;1 barn i HH;2014;Gamle Oslo;Lodalen;Flerfamiliehusholdninger uten barn 0-17 år
0301010101;3.0;2 barn i HH;2014;Gamle Oslo;Lodalen;Flerfamiliehusholdninger uten barn 0-17 år
0301010101;351.0;Ingen barn i HH;2015;Gamle Oslo;Lodalen;Flerfamiliehusholdninger uten barn 0-17 år
0301010101;28.0;1 barn i HH;2015;Gamle Oslo;Lodalen;Flerfamiliehusholdninger uten barn 0-17 år
0301010101;3.0;2 barn i HH;2015;Gamle Oslo;Lodalen;Flerfamiliehusholdninger uten barn 0-17 år
0301010101;375.0;Ingen barn i HH;2016;Gamle Oslo;Lodalen;Flerfamiliehusholdninger uten barn 0-17 år
0301010101;22.0;1 barn i HH;2016;Gamle Oslo;Lodalen;Flerfamiliehusholdninger uten barn 0-17 år
0301010101;5.0;2 barn i HH;2016;Gamle Oslo;Lodalen;Flerfamiliehusholdninger uten barn 0-17 år
0301010101;5.85100000000002;1 barn i HH;2008;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med små barn
0301010101;7.145600000000026;2 barn i HH;2008;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med små barn
0301010101;5.6608000000000205;4 barn eller mer;2008;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med små barn
0301010101;8.777200000000033;1 barn i HH;2009;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med små barn
0301010101;4.582700000000016;2 barn i HH;2009;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med små barn
0301010101;4.528400000000016;4 barn eller mer;2009;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med små barn
0301010101;9.264700000000033;1 barn i HH;2010;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med små barn
0301010101;7.315600000000026;2 barn i HH;2010;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med små barn
0301010101;3.093600000000011;4 barn eller mer;2010;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med små barn
0301010101;9.011500000000032;1 barn i HH;2011;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med små barn
0301010101;3.008700000000011;2 barn i HH;2011;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med små barn
0301010101;4.007700000000014;3 barn i HH;2011;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med små barn
0301010101;9.0;1 barn i HH;2012;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med små barn
0301010101;4.0;2 barn i HH;2012;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med små barn
0301010101;3.0;3 barn i HH;2012;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med små barn
0301010101;8.0;1 barn i HH;2013;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med små barn
0301010101;4.0;2 barn i HH;2013;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med små barn
0301010101;4.0;4 barn eller mer;2013;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med små barn
0301010101;15.0;1 barn i HH;2014;Gamle Oslo;Lodalen;Flerfamiliehusholdninger med små barn
