aar;bydel_id;bydel_navn;delbydel_id;delbydel_navn;selveier_alle;borettslag_andel_alle;leier_alle;selveier_uten_studenter;borettslag_andel_uten_studenter;leier_uten_studenter
2015;11;Bydel Stovner;1103;Rommen;5.34;86.16;8.51;5.41;86.27;8.33
2015;11;Bydel Stovner;1104;Haugenstua;2.81;86.53;10.67;2.84;86.75;10.41
2015;11;Bydel Stovner;1105;Stovner;43.29;43.2;13.51;43.58;43.58;12.85
2015;11;Bydel Stovner;1106;Høybråten;55.03;29.82;15.15;55.54;29.88;14.58
2015;12;Bydel Alna;1201;Furuset;13.6;68.52;17.88;13.68;69.03;17.29
2015;12;Bydel Alna;1202;Ellingsrud;18.21;72.07;9.72;18.23;72.25;9.52
2015;12;Bydel Alna;1203;Lindeberg;11.21;73.99;14.79;11.24;74.56;14.2
2015;12;Bydel Alna;1204;Trosterud;20.7;63.37;15.92;20.79;63.88;15.33
2015;12;Bydel Alna;1205;Hellerudtoppen;59.54;30.17;10.3;59.72;30.52;9.76
2015;12;Bydel Alna;1206;Tveita;9.75;80.19;10.06;9.71;80.67;9.61
2015;12;Bydel Alna;1207;Teisen;16.66;61.74;21.6;16.96;62.44;20.6
2015;13;Bydel Østensjø;1301;Manglerud;26.4;61.59;12.01;26.72;62.12;11.17
2015;13;Bydel Østensjø;1302;Godlia;59.05;22.14;18.8;59.85;22.39;17.76
2015;13;Bydel Østensjø;1303;Oppsal;14.48;77.72;7.8;14.55;78.04;7.41
2015;13;Bydel Østensjø;1304;Bøler;27.01;61.01;11.97;27.24;61.23;11.53
2015;13;Bydel Østensjø;1305;Skullerud;31.2;52.03;16.77;31.39;52.31;16.3
2015;13;Bydel Østensjø;1306;Abildsø;71.27;13.32;15.41;71.88;13.44;14.68
2015;14;Bydel Nordstrand;1401;Ljan;73.79;6.54;19.67;74.22;6.57;19.2
2015;14;Bydel Nordstrand;1402;Nordstrand;55.6;27.54;16.87;56.02;27.86;16.11
2015;14;Bydel Nordstrand;1403;Bekkelaget;75.41;4.08;20.51;76.21;4.15;19.65
2015;14;Bydel Nordstrand;1404;Simensbråten;64.29;14.47;21.24;65.27;14.73;19.99
2015;14;Bydel Nordstrand;1405;Lambertseter;5.86;84.63;9.51;5.94;85.11;8.94
2015;14;Bydel Nordstrand;1406;Munkerud;74.04;9.08;16.89;74.71;9.04;16.25
2015;15;Bydel Søndre Nordstrand;1501;Holmlia Syd;15.58;68.63;15.8;15.57;69.17;15.26
2015;15;Bydel Søndre Nordstrand;1502;Holmlia Nord;4.41;88.71;6.89;4.14;89.18;6.68
2015;15;Bydel Søndre Nordstrand;1503;Prinsdal;59.42;15.43;25.15;60.1;15.62;24.28
2015;15;Bydel Søndre Nordstrand;1504;Bjørnerud;50.06;28.21;21.73;50.28;28.42;21.3
2015;15;Bydel Søndre Nordstrand;1505;Mortensrud;66.38;18.91;14.72;66.84;19.06;14.1
2015;15;Bydel Søndre Nordstrand;1506;Bjørndal;59.66;16.87;23.47;60.15;16.99;22.86
2015;16;Sentrum;1601;Sentrum;22.83;4.54;72.63;23.94;5.11;70.95
2015;17;Marka;1701;Marka;60.07;2.85;37.08;60.32;2.69;36.98
2015;10000;;;;36.69;33.37;29.94;38.19;34.77;27.04
2015;20000;;;;63.16;14.26;22.58;64.86;14.51;20.63
2015;15000;;;;67.47;11.15;21.38;69.07;11.31;19.62
2016;01;Bydel Gamle Oslo;0101;Lodalen;28.89;37.89;33.22;29.63;38.37;32.0
2016;01;Bydel Gamle Oslo;0102;Grønland;27.94;24.94;47.12;28.92;25.39;45.69
2016;01;Bydel Gamle Oslo;0103;Enerhaugen;19.01;40.68;40.31;19.5;41.73;38.77
2016;01;Bydel Gamle Oslo;0104;Nedre Tøyen;16.06;38.95;44.99;16.49;39.81;43.7
2016;01;Bydel Gamle Oslo;0105;Kampen;26.81;40.9;32.29;27.18;41.38;31.44
2016;01;Bydel Gamle Oslo;0106;Vålerenga;27.35;35.9;36.75;27.96;36.09;35.95
2016;01;Bydel Gamle Oslo;0107;Helsfyr;24.27;54.75;20.97;24.68;55.14;20.18
2016;02;Bydel Grünerløkka;0201;Grünerløkka vest;24.38;20.18;55.45;26.1;21.82;52.08
2016;02;Bydel Grünerløkka;0202;Grünerløkka øst;23.98;29.09;46.92;25.07;30.06;44.87
2016;02;Bydel Grünerløkka;0203;Dælenenga;19.32;32.19;48.49;19.94;32.64;47.42
2016;02;Bydel Grünerløkka;0204;Rodeløkka;30.62;25.82;43.56;31.46;26.83;41.71
2016;02;Bydel Grünerløkka;0205;Sinsen;23.66;37.29;39.05;24.17;38.31;37.52
2016;02;Bydel Grünerløkka;0206;Sofienberg;16.46;47.59;35.95;16.77;49.55;33.68
2016;02;Bydel Grünerløkka;0207;Hasle-Løren;40.64;35.96;23.4;41.18;36.55;22.27
2016;03;Bydel Sagene;0301;Iladalen;25.9;38.53;35.56;26.64;39.86;33.5
2016;03;Bydel Sagene;0302;Sagene;16.78;51.63;31.59;16.92;52.83;30.25
2016;03;Bydel Sagene;0303;Bjølsen;10.51;39.66;49.83;11.5;43.37;45.13
2016;03;Bydel Sagene;0304;Sandaker;32.81;33.61;33.59;33.22;34.41;32.36
2016;03;Bydel Sagene;0305;Torshov;22.26;41.09;36.65;22.71;41.88;35.41
2016;04;Bydel St. Hanshaugen;0401;Hammersborg;26.97;21.86;51.17;28.77;22.81;48.42
2016;04;Bydel St. Hanshaugen;0402;Bislett;39.15;14.78;46.07;41.4;15.65;42.94
2016;04;Bydel St. Hanshaugen;0403;Ila;28.84;27.01;44.16;30.75;28.55;40.7
2016;04;Bydel St. Hanshaugen;0404;Fagerborg;39.75;18.17;42.08;41.54;18.91;39.55
2016;04;Bydel St. Hanshaugen;0405;Lindern;24.14;25.04;50.82;25.64;26.47;47.89
2016;05;Bydel Frogner;0501;Bygdøy;62.2;10.36;27.45;62.79;10.54;26.67
2016;05;Bydel Frogner;0502;Frogner;47.32;14.82;37.86;48.65;15.3;36.06
2016;05;Bydel Frogner;0503;Frognerparken;50.87;10.87;38.27;51.86;11.08;37.06
2016;05;Bydel Frogner;0504;Majorstuen nord;43.9;18.82;37.27;45.34;19.41;35.25
2016;05;Bydel Frogner;0505;Majorstuen syd;43.23;10.94;45.83;45.09;11.48;43.43
2016;05;Bydel Frogner;0506;Homansbyen;33.64;14.3;52.07;34.78;15.23;49.99
2016;05;Bydel Frogner;0507;Uranienborg;48.38;8.23;43.39;49.62;8.45;41.93
2016;05;Bydel Frogner;0508;Skillebekk;48.21;9.61;42.17;49.54;9.84;40.62
2016;06;Bydel Ullern;0601;Ullernåsen;62.55;24.52;12.93;62.99;24.62;12.38
2016;06;Bydel Ullern;0602;Lilleaker;73.79;6.38;19.83;74.61;6.26;19.14
2016;06;Bydel Ullern;0603;Ullern;72.27;9.01;18.72;73.21;8.96;17.83
2016;06;Bydel Ullern;0604;Montebello-Hoff;65.8;10.4;23.8;66.5;10.46;23.04
2016;06;Bydel Ullern;0605;Skøyen;53.66;28.66;17.67;54.27;28.99;16.74
2016;07;Bydel Vestre Aker;0701;Røa;77.18;3.84;18.98;78.07;3.83;18.1
2016;07;Bydel Vestre Aker;0702;Holmenkollen;62.84;24.36;12.8;63.26;24.45;12.29
2016;07;Bydel Vestre Aker;0703;Hovseter;26.04;54.57;19.39;26.31;55.23;18.46
2016;07;Bydel Vestre Aker;0704;Holmen;81.88;2.57;15.55;82.95;2.62;14.43
